epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1161.9,1.22497,0.91955,1.22901,0.8857,0.82712,0.89862,0.57831,1.19293,0.77421,1.20008,0.000990365,0.000990365,0.000990365
43,1188.53,1.23001,0.90923,1.22728,0.86993,0.8454,0.89281,0.57376,1.18357,0.75775,1.19388,0.000973861,0.000973861,0.000973861
44,1215.99,1.21482,0.89134,1.21224,0.88668,0.8348,0.89842,0.57635,1.18871,0.73662,1.19664,0.000957358,0.000957358,0.000957358
45,1242.91,1.22188,0.88734,1.20937,0.9008,0.81578,0.9018,0.58025,1.16642,0.73924,1.18684,0.000940855,0.000940855,0.000940855
46,1271.83,1.19911,0.85171,1.20695,0.883,0.84092,0.90317,0.58062,1.17913,0.7192,1.19271,0.000924352,0.000924352,0.000924352
47,1297.93,1.20172,0.85944,1.20729,0.88444,0.86768,0.919,0.59088,1.18431,0.71298,1.19051,0.000907848,0.000907848,0.000907848
48,1323.73,1.19233,0.86405,1.20238,0.89202,0.84846,0.91471,0.58727,1.16273,0.72869,1.17171,0.000891345,0.000891345,0.000891345
49,1349.63,1.19832,0.85858,1.19897,0.87133,0.84462,0.90185,0.58379,1.17836,0.73218,1.18831,0.000874842,0.000874842,0.000874842
50,1375.6,1.18829,0.8553,1.19767,0.89613,0.8487,0.9071,0.58703,1.16367,0.7242,1.18014,0.000858338,0.000858338,0.000858338
51,1401.58,1.18567,0.84872,1.19759,0.90508,0.84672,0.917,0.59529,1.1704,0.70475,1.18193,0.000841835,0.000841835,0.000841835
52,1427.42,1.16507,0.83374,1.19112,0.89451,0.83648,0.90931,0.59367,1.17259,0.7194,1.19376,0.000825332,0.000825332,0.000825332
53,1453.42,1.17172,0.82734,1.18591,0.90992,0.84262,0.90545,0.58817,1.17651,0.70966,1.18972,0.000808828,0.000808828,0.000808828
54,1479.07,1.14605,0.81719,1.17508,0.88852,0.8642,0.9156,0.60085,1.14614,0.67908,1.16314,0.000792325,0.000792325,0.000792325
55,1505.02,1.16144,0.81206,1.17719,0.89315,0.84925,0.90955,0.60039,1.15705,0.68423,1.17013,0.000775822,0.000775822,0.000775822
56,1530.8,1.16408,0.80842,1.17986,0.88638,0.85291,0.91509,0.60675,1.13282,0.68786,1.16108,0.000759318,0.000759318,0.000759318
57,1557.46,1.15474,0.80108,1.17673,0.9064,0.86336,0.92341,0.60765,1.15084,0.65789,1.1751,0.000742815,0.000742815,0.000742815
58,1583.4,1.14388,0.79183,1.17106,0.91058,0.86037,0.92398,0.60999,1.13042,0.67146,1.15942,0.000726312,0.000726312,0.000726312
59,1609.22,1.14397,0.79194,1.17097,0.89326,0.86497,0.91554,0.60564,1.13028,0.68244,1.1555,0.000709809,0.000709809,0.000709809
60,1634.97,1.13686,0.78669,1.17002,0.88874,0.86349,0.91097,0.60453,1.13737,0.67145,1.17652,0.000693305,0.000693305,0.000693305
61,1660.55,1.14186,0.80033,1.18247,0.91369,0.86747,0.92939,0.60908,1.15558,0.64652,1.17545,0.000676802,0.000676802,0.000676802
62,1686.34,1.12838,0.76934,1.16828,0.91417,0.85607,0.92205,0.61451,1.13449,0.64929,1.16311,0.000660299,0.000660299,0.000660299
63,1712.11,1.1026,0.76217,1.14884,0.91264,0.87107,0.92294,0.61127,1.11643,0.65876,1.14932,0.000643795,0.000643795,0.000643795
64,1738.2,1.1336,0.77048,1.15929,0.91657,0.86924,0.92853,0.61512,1.13172,0.63788,1.15815,0.000627292,0.000627292,0.000627292
65,1763.9,1.11771,0.7536,1.14833,0.91554,0.87368,0.93184,0.6153,1.13284,0.64283,1.16104,0.000610789,0.000610789,0.000610789
66,1789.91,1.11298,0.74502,1.14977,0.93137,0.85997,0.93039,0.61678,1.12648,0.6408,1.15001,0.000594286,0.000594286,0.000594286
67,1817.1,1.10351,0.74778,1.15208,0.91982,0.87869,0.9327,0.62833,1.11488,0.6291,1.14529,0.000577782,0.000577782,0.000577782
68,1842.67,1.08451,0.72148,1.13808,0.92632,0.86708,0.93646,0.62385,1.11602,0.62507,1.15233,0.000561279,0.000561279,0.000561279
69,1868.7,1.08574,0.72713,1.13984,0.91086,0.87642,0.93248,0.63105,1.10266,0.61741,1.1434,0.000544776,0.000544776,0.000544776
70,1894.46,1.09067,0.727,1.13736,0.90791,0.89072,0.93754,0.63073,1.09789,0.61248,1.14299,0.000528272,0.000528272,0.000528272
71,1920.87,1.08282,0.71213,1.13249,0.91895,0.88992,0.9389,0.63981,1.09626,0.61096,1.13865,0.000511769,0.000511769,0.000511769
72,1946.9,1.07084,0.70823,1.13219,0.9227,0.88702,0.93732,0.62666,1.10901,0.6087,1.14616,0.000495266,0.000495266,0.000495266
73,1972.74,1.06905,0.70973,1.13011,0.90779,0.89121,0.93369,0.63378,1.09846,0.5993,1.14459,0.000478762,0.000478762,0.000478762
74,1998.72,1.0504,0.69976,1.11622,0.91305,0.88881,0.93587,0.62657,1.1109,0.60453,1.15453,0.000462259,0.000462259,0.000462259
75,2024.51,1.05197,0.6963,1.1229,0.90473,0.89167,0.93658,0.63265,1.10431,0.60329,1.14904,0.000445756,0.000445756,0.000445756
76,2049.98,1.06664,0.70742,1.12087,0.90607,0.88864,0.93658,0.63477,1.09477,0.60044,1.14165,0.000429253,0.000429253,0.000429253
77,2075.85,1.05566,0.68389,1.11646,0.91262,0.89557,0.93912,0.63607,1.09715,0.58837,1.14263,0.000412749,0.000412749,0.000412749
78,2101.77,1.04419,0.68739,1.12142,0.92725,0.88351,0.93712,0.63182,1.103,0.59474,1.1365,0.000396246,0.000396246,0.000396246
79,2127.18,1.04089,0.68817,1.11714,0.9252,0.8883,0.93959,0.63635,1.09861,0.58941,1.13696,0.000379743,0.000379743,0.000379743
80,2152.91,1.04538,0.67259,1.11065,0.92119,0.88997,0.94086,0.64191,1.08562,0.58368,1.13157,0.000363239,0.000363239,0.000363239
81,2178.82,1.03016,0.66791,1.11084,0.92258,0.89205,0.94095,0.63886,1.07993,0.58815,1.12672,0.000346736,0.000346736,0.000346736
82,2204.66,1.02932,0.6655,1.10301,0.91874,0.90564,0.94072,0.63988,1.08652,0.58179,1.12935,0.000330233,0.000330233,0.000330233
